VIN,Stock#,Year,Make,Model,Type,Drive,Odo,Engine,Transmission,Ext color,yard_number,yard_name,Live Start,day_of_week,Event,time_zone,item,lot_number,vehicle_type,year,make,model_group,model_detail,body_style,color,damage_description,secondary_damage,sale_title_state,sale_title_type,has_keys,lot_cond_code,odometer_brand,est_retail_value,repair_cost,fuel_type,cylinders,runs_drives,sale_status,high_bid_non_vix_sealed_vix,special_note,Location,location_state,location_zip5,location_zip4,location_country,currency_code,image_thumbnail,create_date_time,grid_row,make_an_offer_eligible,Current Bid,image_url,trim,last_updated_time,rentals,copart_select,source,Timestamp
1J4FA49S22P733562,PWW347556,2002,JEEP,WRANGLER SPORT,SUV,4WD,244251                                                                                                        ACTUAL,4.0L NA I6 overhead valves (OHV) 12V,Manual,SILVER,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2002 JEEP WRANGLERSPORT ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
KM8JN72D37U485070,NEI422422,2007,Hyundai,Tucson,SUV,4WD,150986                                                                                                        ACTUAL,2.7L V6 173hp 178ft. lbs.,Automatic,Red,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2007 Hyundai Tucson ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
3N1BC13E98L421925,NPD61444,2008,NISSAN,Versa,HATCHBACK,FWD,140805                                                                                                        ACTUAL,1.8L I4 122hp 127ft. lbs.,Automatic,SILVER,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2008 NISSAN Versa ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1FAHP2MK8FG126179,DFX674505,2015,Ford,Taurus,Sedan,AWD,101272                                                                                                        ACTUAL,3.7L Flex Fuel V6 305hp 279ft. lbs.,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2015 Ford Taurus ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
3KPFK4A74HE108938,PVJ2073,2017,Kia,Forte,Sedan,FWD,85057                                                                                                        ACTUAL,2.7L V6 185hp 183ft. lbs.,Automatic,BLUE,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2017 Kia Forte ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
3KPFK4A74HE108938,PVJ2073,2017,Kia,Forte,Sedan,FWD,62717                                                                                                        ACTUAL,Nu 2.0L I4 147hp 132ft. lbs.,Automatic,BLACK,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2017 Kia Forte ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
4X4FWBM2XFU008523,DCS483119,2015,Wildwood by Forest River,356QB,MOBILEHOME,FWD,62717                                                                                                        ACTUAL,Nu 2.0L I4 147hp 132ft. lbs.,Automatic,BROWN,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2015 WildwoodbyForestRiver 356QB ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
3N1AB61EX8L727692,NPD61434,2008,NISSAN,Sentra,Sedan,FWD,139074                                            TMU,2.0L I4 140hp 147ft. lbs.,Automatic,MAROON,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2008 NISSAN Sentra ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
5NPEU46F66H065170,NWZ36714,2006,Hyundai,Sonata,Sedan,FWD,213745                                                                                                        ACTUAL,3L NA V6 double overhead cam (DOHC) 24V,Automatic,BLACK,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2006 Hyundai Sonata ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1FTHW25F9VEC00704,DCS483131,1997,Ford,F-250,Pickup,RWD,339068                                            TMU,7.3L Turbocharged Diesel V8 OHV 16V FI Engine,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 1997 Ford F-250 ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
